airport_code,ident,airport_type,name,latitude,longitude,elevation,iata
9,FN18,small_airport,Matala Airport,-14.7274999619,15.013999939,4120,AO
10,FN19,small_airport,Cabo Ledo Airport,-9.6530504227,13.26060009,360,AO
2051,DAAJ,medium_airport,Djanet Inedbirene Airport,24.2928009033,9.4524402618,3176,DZ
2053,DAAN,small_airport,Reggane Airport,26.710100174,0.2856470048,955,DZ
2054,DAAP,medium_airport,Illizi Takhamalt Airport,26.7234992981,8.6226501465,1778,DZ
2056,DAAT,medium_airport,Aguenar � Hadj Bey Akhamok Airport,22.8115005493,5.4510798454,4518,DZ
2058,DAAY,medium_airport,Mecheria Airport,33.535900116,-0.2423530072,3855,DZ
2064,DAFH,medium_airport,Hassi R'Mel Airport,32.9304008484,3.3115398884,2540,DZ
2067,DAOF,medium_airport,Tindouf Airport,27.7003993988,-8.1670999527,1453,DZ
2072,DAOR,medium_airport,B�char Boudghene Ben Ali Lotfi Airport,31.6457004547,-2.2698600292,2661,DZ
2075,DAUA,medium_airport,Touat Cheikh Sidi Mohamed Belkebir Airport,27.837600708,-0.1864140034,919,DZ
2077,DAUE,medium_airport,El Golea Airport,30.5713005066,2.8595900536,1306,DZ
2078,DAUG,medium_airport,Noum�rat - Moufdi Zakaria Airport,32.3841018677,3.7941100597,1512,DZ
2079,DAUH,medium_airport,Oued Irara Airport,31.6730003357,6.1404399872,463,DZ
2080,DAUI,medium_airport,In Salah Airport,27.2509994507,2.5120201111,896,DZ
2081,DAUK,medium_airport,Touggourt Sidi Madhi Airport,33.0677986145,6.0886697769,279,DZ
2082,DAUL,medium_airport,Laghouat Airport,33.7644004822,2.9283399582,2510,DZ
2083,DAUO,medium_airport,Guemar Airport,33.5113983154,6.7767901421,203,DZ
2084,DAUT,medium_airport,Timimoun Airport,29.2371006012,0.2760330141,1027,DZ
2085,DAUU,medium_airport,Ain el Beida Airport,31.9172000885,5.412779808,492,DZ
2086,DAUZ,medium_airport,In Am�nas Airport,28.0515003204,9.6429100037,1847,DZ
2087,DBBB,medium_airport,Cadjehoun Airport,6.3572301865,2.3843500614,19,BJ
2088,DFFD,medium_airport,Ouagadougou Airport,12.3531999588,-1.5124200583,1037,BF
2089,DFOO,medium_airport,Bobo Dioulasso Airport,11.1600999832,-4.3309698105,1511,BF
2090,DGAA,large_airport,Kotoka International Airport,5.6051898003,-0.1667860001,205,GH
2091,DGLE,medium_airport,Tamale Airport,9.5571899414,-0.863214016,553,GH
2092,DGLW,small_airport,Wa Airport,10.0826997757,-2.5076899529,1060,GH
2093,DGSI,medium_airport,Kumasi Airport,6.7145600319,-1.5908199549,942,GH
2094,DGSN,medium_airport,Sunyani Airport,7.3618302345,-2.3287599087,1014,GH
2095,DGTK,medium_airport,Takoradi Airport,4.8960599899,-1.7747600079,21,GH
2096,DIAP,medium_airport,Port Bouet Airport,5.2613902092,-3.9262900352,21,CI
2097,DIBK,medium_airport,Bouak� Airport,7.7388000488,-5.0736699104,1230,CI
2098,DIDL,medium_airport,Daloa Airport,6.7928099632,-6.4731898308,823,CI
2099,DIKO,medium_airport,Korhogo Airport,9.3871803284,-5.5566601753,1214,CI
2100,DIMN,medium_airport,Man Airport,7.272069931,-7.5873599052,1089,CI
2101,DISP,medium_airport,San Pedro Airport,4.7467198372,-6.6608200073,26,CI
2102,DIYO,medium_airport,Yamoussoukro Airport,6.9031701088,-5.3655800819,699,CI
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.0067901611,7.2631697655,1123,NG
2105,DNAK,medium_airport,Akure Airport,7.2467398643,5.3010101318,1100,NG
2106,DNBE,medium_airport,Benin Airport,6.3169798851,5.5995001793,258,NG
2107,DNCA,medium_airport,Margaret Ekpo International Airport,4.9760198593,8.3472003937,210,NG
2108,DNEN,medium_airport,Akanu Ibiam International Airport,6.4742698669,7.5619602203,466,NG
2109,DNGU,medium_airport,Gusau Airport,12.1716995239,6.6961097717,1520,NG
2110,DNIB,medium_airport,Ibadan Airport,7.3624601364,3.9783298969,725,NG
2111,DNIL,medium_airport,Ilorin International Airport,8.4402103424,4.4939198494,1126,NG
2112,DNIM,medium_airport,Sam Mbakwe International Airport,5.4270601273,7.206029892,373,NG
2113,DNJO,medium_airport,Yakubu Gowon Airport,9.6398296356,8.8690500259,4232,NG
2114,DNKA,medium_airport,Kaduna Airport,10.6960000992,7.3201098442,2073,NG
2115,DNKN,medium_airport,Mallam Aminu International Airport,12.0475997925,8.5246200562,1562,NG
2116,DNMA,medium_airport,Maiduguri International Airport,11.8552999496,13.0809001923,1099,NG
2117,DNMK,medium_airport,Makurdi Airport,7.7038798332,8.613940239,371,NG
2118,DNMM,large_airport,Murtala Muhammed International Airport,6.5773701668,3.321160078,135,NG
2119,DNMN,medium_airport,Minna Airport,9.6521701813,6.4622597694,834,NG
2120,DNPO,medium_airport,Port Harcourt International Airport,5.0154900551,6.9495902061,87,NG
2121,DNSO,medium_airport,Sadiq Abubakar III International Airport,12.9162998199,5.2071900368,1010,NG
2122,DNYO,medium_airport,Yola Airport,9.2575502396,12.4303998947,599,NG
2123,DNZA,medium_airport,Zaria Airport,11.130200386,7.6858100891,2170,NG
2124,DRRM,medium_airport,Maradi Airport,13.5024995804,7.1267499924,1240,NE
2125,DRRN,medium_airport,Diori Hamani International Airport,13.4814996719,2.1836099625,732,NE
2126,DRRT,medium_airport,Tahoua Airport,14.8756999969,5.2653598785,1266,NE
2127,DRZA,medium_airport,Mano Dayak International Airport,16.9659996033,8.0001096725,1657,NE
2128,DRZD,small_airport,Dirkou Airport,18.9687004089,12.8687000275,1273,NE
